"drug_type","case","details","year","percentage","sex","age","race","hispanic"
"Natural and semisynthetic opioids","Age","25-34 years",2005,2.5,NA,"25-34 years",NA,NA
"Natural and semisynthetic opioids","Age","25-34 years",2006,3.2,NA,"25-34 years",NA,NA
"Natural and semisynthetic opioids","Age","25-34 years",2007,3.8,NA,"25-34 years",NA,NA
"Natural and semisynthetic opioids","Age","25-34 years",2008,4.1,NA,"25-34 years",NA,NA
"Natural and semisynthetic opioids","Age","25-34 years",2009,4.5,NA,"25-34 years",NA,NA
"Natural and semisynthetic opioids","Age","25-34 years",2010,5.3,NA,"25-34 years",NA,NA
"Natural and semisynthetic opioids","Age","25-34 years",2011,5.6,NA,"25-34 years",NA,NA
"Natural and semisynthetic opioids","Age","25-34 years",2012,4.9,NA,"25-34 years",NA,NA
"Natural and semisynthetic opioids","Age","25-34 years",2013,4.9,NA,"25-34 years",NA,NA
"Natural and semisynthetic opioids","Age","25-34 years",2014,4.9,NA,"25-34 years",NA,NA
"Natural and semisynthetic opioids","Age","25-34 years",2015,5.3,NA,"25-34 years",NA,NA
"Natural and semisynthetic opioids","Age","25-34 years",2016,6.3,NA,"25-34 years",NA,NA
"Natural and semisynthetic opioids","Age","25-34 years",2017,6.3,NA,"25-34 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",1999,2.3,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2000,2.4,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2001,2.8,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2002,3.4,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2003,3.5,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2004,3.6,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2005,3.7,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2006,4.2,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2007,4.8,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2008,5.2,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2009,5.5,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2010,6.1,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2011,6.5,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2012,6.2,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2013,5.9,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2014,6.5,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2015,6.9,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2016,7.7,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","35-44 years",2017,7.7,NA,"35-44 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",1999,2,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2000,2.2,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2001,2.5,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2002,3.3,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2003,3.6,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2004,3.9,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2005,4.4,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2006,5.1,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2007,5.8,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2008,6.5,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2009,6.8,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2010,7.3,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2011,7.9,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2012,7.6,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2013,7.8,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2014,8,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2015,8.1,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2016,8.7,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","45-54 years",2017,8.6,NA,"45-54 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",1999,0.7,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2000,0.7,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2001,0.9,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2002,1.1,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2003,1.4,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2004,1.7,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2005,1.9,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2006,2.4,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2007,3,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2008,3.4,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2009,3.7,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2010,4.2,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2011,4.5,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2012,4.7,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2013,5.4,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2014,6.1,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2015,6.4,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2016,7.2,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","55-64 years",2017,7.1,NA,"55-64 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",1999,0.3,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2000,0.3,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2001,0.3,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2002,0.4,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2003,0.5,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2004,0.5,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2005,0.7,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2006,0.7,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2007,0.8,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2008,1,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2009,1.2,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2010,1.1,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2011,1.4,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2012,1.6,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2013,1.7,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2014,2.1,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2015,2.1,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2016,2.3,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","65-74 years",2017,2.5,NA,"65-74 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",1999,0.2,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2000,NA,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2001,0.2,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2002,0.3,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2003,0.3,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2004,0.4,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2005,0.4,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2006,0.4,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2007,0.4,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2008,0.5,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2009,0.6,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2010,0.5,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2011,0.6,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2012,0.6,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2013,0.6,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2014,0.8,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2015,0.9,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2016,0.9,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","75-84 years",2017,1,NA,"75-84 years",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",1999,NA,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2000,NA,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2001,NA,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2002,NA,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2003,0.5,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2004,NA,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2005,0.6,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2006,0.5,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2007,0.7,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2008,0.5,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2009,0.5,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2010,0.9,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2011,0.7,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2012,0.7,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2013,0.8,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2014,0.7,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2015,0.7,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2016,0.6,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Age","85 years and over",2017,0.9,NA,"85 years and over",NA,NA
"Natural and semisynthetic opioids","Sex","Male",1999,1.4,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2000,1.5,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2001,1.7,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2002,2,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2003,2.2,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2004,2.3,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2005,2.4,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2006,2.9,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2007,3.3,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2008,3.7,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2009,3.9,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2010,4.4,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2011,4.5,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2012,4.1,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2013,4.1,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2014,4.3,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2015,4.5,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2016,5.3,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Male",2017,5.2,"Male",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",1999,0.5,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2000,0.6,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2001,0.8,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2002,1.1,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2003,1.2,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2004,1.3,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2005,1.5,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2006,1.8,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2007,2.1,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2008,2.3,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2009,2.5,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2010,2.8,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2011,3,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2012,3,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2013,3.1,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2014,3.4,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2015,3.4,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2016,3.7,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex","Female",2017,3.7,"Female",NA,NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",1999,NA,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2000,NA,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2001,NA,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2002,NA,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2003,NA,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2004,NA,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2005,NA,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2006,NA,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2007,NA,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2008,0.1,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2009,0.1,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2010,0.1,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2011,0.1,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2012,0.1,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2013,0.1,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2014,0.1,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2015,0.1,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2016,0.1,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: Under 15 years",2017,NA,"Male","Under 15 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",1999,0.7,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2000,0.8,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2001,1.3,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2002,1.3,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2003,1.7,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2004,1.8,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2005,1.9,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2006,2.3,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2007,2.6,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2008,3,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2009,2.8,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2010,3.5,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2011,3.3,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2012,2.7,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2013,2.6,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2014,2.3,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2015,2.2,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2016,3.3,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 15-24 years",2017,2.8,"Male","15-24 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",1999,2,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2000,1.9,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2001,2,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2002,2.7,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2003,2.9,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2004,2.9,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2005,3.4,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2006,4.4,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2007,5.2,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2008,5.9,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2009,6.3,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2010,7.1,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2011,7.5,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2012,6.3,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2013,6.4,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2014,6.5,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2015,7,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2016,8.4,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 25-34 years",2017,8.3,"Male","25-34 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",1999,3.6,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2000,3.4,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2001,3.7,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2002,4.4,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2003,4.5,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2004,4.5,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2005,4.4,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2006,5.3,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2007,5.8,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2008,6.3,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2009,6.6,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2010,7.5,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2011,7.7,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2012,7.1,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2013,6.6,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2014,7.2,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2015,7.8,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2016,9.1,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 35-44 years",2017,9.5,"Male","35-44 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",1999,2.8,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2000,3.1,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2001,3.3,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2002,4.2,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2003,4.5,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2004,4.7,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2005,5.3,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2006,5.8,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2007,6.4,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2008,7.4,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2009,7.6,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2010,8.3,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2011,8.6,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2012,8,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2013,8.2,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2014,8.4,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2015,8.2,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2016,9.3,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 45-54 years",2017,9.3,"Male","45-54 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",1999,0.8,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2000,0.7,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2001,0.9,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2002,1.3,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2003,1.6,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2004,1.8,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2005,2,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2006,2.6,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2007,3.3,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2008,3.7,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2009,4.1,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2010,4.7,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2011,5,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2012,5,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2013,5.7,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2014,6.3,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2015,6.8,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2016,7.8,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 55-64 years",2017,7.5,"Male","55-64 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 65-74 years",1999,0.4,"Male","65-74 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 65-74 years",2000,0.3,"Male","65-74 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 65-74 years",2001,0.3,"Male","65-74 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 65-74 years",2002,0.4,"Male","65-74 years",NA,NA
"Natural and semisynthetic opioids","Sex and age","Male: 65-74 years",2003,0.5,"Male","65-74 years",NA,NA
